year,month,ncm,commodity,subtype,description,country_code,country_name,qt_estat,kg_net,mt,bales_480lb,fob_usd
1997,1,15071000,soybeans,soybean_oil,Crude soybean oil,160,United Arab Emirates,6000,6000000,6000.0,27557.83,3002191
1997,1,15071000,soybeans,soybean_oil,Crude soybean oil,160,United Arab Emirates,8095,8095000,8095.0,37180.1,4129840
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,232,Yemen,32201,32200830,32200.83,147897.48,8580017
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,232,Yemen,2949,2949170,2949.17,13545.45,943734
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,232,Yemen,31000,31000000,31000.0,142382.1,8270690
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,245,Unknown,26250,26250000,26250.0,120565.49,7336875
1997,1,12010010,soybeans,raw_soybeans,Soybeans for sowing,245,Unknown,13730,13730000,13730.0,63061.49,3954240
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,246,Iceland,333,333171,333.171,1530.24,84139
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,267,Kosovo,23485,23484528,23484.528,107863.75,6816813
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,275,Unknown,21595,21595000,21595.0,99185.21,6213711
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,275,Unknown,25710,25710473,25710.473,118087.45,7439088
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,275,Unknown,25971,25971047,25971.047,119284.26,6948959
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,355,Niger,15000,15000000,15000.0,68894.56,4042100
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,355,Niger,12587,12586772,12586.772,57810.68,3318511
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,355,Niger,10875,10875500,10875.5,49950.86,2902485
1997,1,15071000,soybeans,soybean_oil,Crude soybean oil,361,New Zealand,4600,4600000,4600.0,21127.67,2316024
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,365,Unknown,6323,6323000,6323.0,29041.36,1905830
1997,1,15071000,soybeans,soybean_oil,Crude soybean oil,372,Panama,4000,4000000,4000.0,18371.88,2480000
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,383,Unknown,0,4000,4.0,18.37,1742
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,386,Puerto Rico,18567,18567310,18567.31,85279.11,4822699
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,386,Puerto Rico,2093,2093164,2093.164,9613.84,589226
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,399,Romania,19080,19080000,19080.0,87633.89,5016895
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,573,Unknown,14926,14926385,14926.385,68556.45,3975031
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,573,Unknown,14000,14000000,14000.0,64301.59,3850162
1997,1,23040010,soybeans,soybean_meal,Soybean oilcake / meal pellets,573,Unknown,0,5430274,5430.274,24941.09,543657
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,573,Unknown,10000,10000000,10000.0,45929.71,2627670
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,573,Unknown,88293,88292244,88292.244,405523.71,24136218
1997,1,15071000,soybeans,soybean_oil,Crude soybean oil,573,Unknown,5700,5700000,5700.0,26179.93,2907000
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,573,Unknown,5000,5000000,5000.0,22964.85,1414250
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,573,Unknown,419,419070,419.07,1924.78,119318
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,580,Unknown,16939,16938530,16938.53,77798.18,5106628
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,628,New Caledonia,821,821413,821.413,3772.73,207497
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,827,Unknown,11200,11200000,11200.0,51441.27,3176100
1997,2,09012100,coffee,arabica_green,Roasted arabica (not decaff),023,Albania,1,1000,1.0,4.59,900
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),023,Albania,33,31725,31.725,145.71,167243
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),023,Albania,26,25500,25.5,117.12,112436
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),023,Albania,0,210,0.21,0.96,1528
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),023,Albania,135,134220,134.22,616.47,755488
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),023,Albania,23,22900,22.9,105.18,121388
1997,2,09012100,coffee,arabica_green,Roasted arabica (not decaff),040,Saudi Arabia,0,300,0.3,1.38,1636
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),063,Bangladesh,14,14400,14.4,66.14,144445
1997,2,09012100,coffee,arabica_green,Roasted arabica (not decaff),063,Bangladesh,1,936,0.936,4.3,4914
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),069,Belgium,16,15050,15.05,69.12,61383
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),069,Belgium,118,118689,118.689,545.14,722098
1997,2,09012100,coffee,arabica_green,Roasted arabica (not decaff),097,Unknown,8,6000,6.0,27.56,24552
1997,2,09012100,coffee,arabica_green,Roasted arabica (not decaff),097,Unknown,2,2000,2.0,9.19,5755
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),111,China,71,71400,71.4,327.94,483243
1997,2,09012100,coffee,arabica_green,Roasted arabica (not decaff),127,Costa Rica,12,12380,12.38,56.86,47663
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),149,Ecuador,49,48580,48.58,223.13,245330
1997,2,21011190,coffee,soluble,Soluble/instant coffee extract (other),149,Ecuador,0,18360,18.36,84.33,60518
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),149,Ecuador,63,64441,64.441,295.98,300116
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),158,Unknown,7,7181,7.181,32.98,61755
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),161,Unknown,13,12690,12.69,58.28,68571
